车间,工序编号,工序开始,工序结束,工序持续时间(s)
A,A1,00:58:40,01:21:10,1350
A,A2,10:42:20,13:12:20,9000
A,A3,15:29:15,17:59:15,9000
B,B1,00:03:50,00:39:50,2160
B,B2,02:26:32,03:11:32,2700
B,B3,03:11:32,03:17:43,371
B,B4,13:32:45,15:20:45,6480
C,C1,00:05:10,00:26:46,1296
C,C2,00:26:46,00:39:07,741
C,C3-1,00:39:07,00:49:55,648
C,C4-1,00:49:55,02:49:55,7200
C,C5-1,02:49:55,06:49:55,14400
C,C3-2,06:49:55,07:00:43,648
C,C4-2,08:53:35,10:33:35,6000
C,C5-2,11:23:35,13:23:35,7200
C,C3-3,13:23:35,13:34:23,648
C,C4-3,15:11:55,16:51:55,6000
C,C5-3,18:08:00,20:08:00,7200
D,D1,01:12:26,01:41:14,1728
D,D2,01:41:14,02:05:14,1440
D,D3,02:05:14,02:12:57,463
D,D4,02:34:15,08:49:15,22500
D,D5,08:49:15,11:19:15,9000
D,D6,16:56:15,20:26:15,12600
E,E1,00:33:51,01:03:51,1800
E,E2,01:03:51,01:21:00,1029
E,E3,01:21:00,03:21:00,7200
