序号,设备编号,起始时间,结束时间,持续工作时间(s),工序编号,班组
1,工业清洗机1-1,00:05:10,00:24:22,1152,C1,班组1
2,工业清洗机1-2,00:05:10,00:24:22,1152,C1,班组1
3,工业清洗机1-4,00:05:10,00:24:22,1152,C1,班组1
4,工业清洗机1-5,00:05:10,00:24:22,1152,C1,班组1
5,工业清洗机2-1,00:05:10,00:24:22,1152,C1,班组2
6,工业清洗机2-2,00:05:10,00:24:22,1152,C1,班组2
7,工业清洗机2-3,00:05:10,00:24:22,1152,C1,班组2
8,工业清洗机2-4,00:05:10,00:24:22,1152,C1,班组2
9,工业清洗机2-5,00:05:10,00:24:22,1152,C1,班组2
10,自动化输送臂1-1,00:05:10,00:26:46,1296,C1,班组1
11,自动化输送臂1-2,00:05:10,00:26:46,1296,C1,班组1
12,自动化输送臂1-3,00:05:10,00:26:46,1296,C1,班组1
13,自动化输送臂1-4,00:05:10,00:26:46,1296,C1,班组1
14,自动化输送臂2-1,00:05:10,00:26:46,1296,C1,班组2
15,自动化输送臂2-2,00:05:10,00:26:46,1296,C1,班组2
16,自动化输送臂2-3,00:05:10,00:26:46,1296,C1,班组2
17,自动化输送臂2-4,00:05:10,00:26:46,1296,C1,班组2
18,精密灌装机1-1,00:26:46,00:38:00,674,C2,班组1
19,精密灌装机1-2,00:26:46,00:38:00,674,C2,班组1
20,精密灌装机1-3,00:26:46,00:38:00,674,C2,班组1
21,精密灌装机1-4,00:26:46,00:38:00,674,C2,班组1
22,精密灌装机1-5,00:26:46,00:38:00,674,C2,班组1
23,精密灌装机1-6,00:26:46,00:38:00,674,C2,班组1
24,精密灌装机2-1,00:26:46,00:38:00,674,C2,班组2
25,精密灌装机2-2,00:26:46,00:38:00,674,C2,班组2
26,精密灌装机2-3,00:26:46,00:38:00,674,C2,班组2
27,精密灌装机2-4,00:26:46,00:38:00,674,C2,班组2
28,精密灌装机2-5,00:26:46,00:38:00,674,C2,班组2
29,工业清洗机1-1,00:28:42,00:57:30,1728,D1,班组1
30,工业清洗机1-2,00:28:42,00:57:30,1728,D1,班组1
31,工业清洗机1-3,00:28:42,00:57:30,1728,D1,班组1
32,工业清洗机1-4,00:28:42,00:57:30,1728,D1,班组1
33,工业清洗机1-5,00:28:42,00:57:30,1728,D1,班组1
34,精密灌装机1-1,00:38:00,00:48:48,648,C3-1,班组1
35,精密灌装机1-2,00:38:00,00:48:48,648,C3-1,班组1
36,精密灌装机1-3,00:38:00,00:48:48,648,C3-1,班组1
37,精密灌装机1-4,00:38:00,00:48:48,648,C3-1,班组1
38,精密灌装机1-5,00:38:00,00:48:48,648,C3-1,班组1
39,精密灌装机1-6,00:38:00,00:48:48,648,C3-1,班组1
40,精密灌装机2-2,00:38:00,00:48:48,648,C3-1,班组2
41,精密灌装机2-3,00:38:00,00:48:48,648,C3-1,班组2
42,精密灌装机2-4,00:38:00,00:48:48,648,C3-1,班组2
43,精密灌装机2-5,00:38:00,00:48:48,648,C3-1,班组2
44,自动化输送臂1-1,00:38:00,00:48:48,648,C3-1,班组1
45,自动化输送臂1-2,00:38:00,00:48:48,648,C3-1,班组1
46,自动化输送臂1-3,00:38:00,00:48:48,648,C3-1,班组1
47,自动化输送臂1-4,00:38:00,00:48:48,648,C3-1,班组1
48,自动化输送臂2-1,00:38:00,00:48:48,648,C3-1,班组2
49,自动化输送臂2-2,00:38:00,00:48:48,648,C3-1,班组2
50,自动化输送臂2-3,00:38:00,00:48:48,648,C3-1,班组2
51,自动化输送臂2-4,00:38:00,00:48:48,648,C3-1,班组2
52,工业清洗机2-1,00:48:48,01:36:48,2880,C4-1,班组2
53,工业清洗机2-2,00:48:48,01:36:48,2880,C4-1,班组2
54,工业清洗机2-3,00:48:48,01:36:48,2880,C4-1,班组2
55,工业清洗机2-4,00:48:48,01:36:48,2880,C4-1,班组2
56,工业清洗机2-5,00:48:48,01:36:48,2880,C4-1,班组2
57,高速抛光机1-1,00:48:48,01:28:48,2400,C4-1,班组1
58,高速抛光机1-2,00:48:48,01:28:48,2400,C4-1,班组1
59,高速抛光机1-3,00:48:48,01:28:48,2400,C4-1,班组1
60,高速抛光机1-4,00:48:48,01:28:48,2400,C4-1,班组1
61,高速抛光机2-1,00:48:48,01:28:48,2400,C4-1,班组2
62,精密灌装机1-1,00:57:30,01:24:10,1600,D2,班组1
63,精密灌装机1-2,00:57:30,01:24:10,1600,D2,班组1
64,精密灌装机1-3,00:57:30,01:24:10,1600,D2,班组1
65,精密灌装机1-5,00:57:30,01:24:10,1600,D2,班组1
66,精密灌装机1-6,00:57:30,01:24:10,1600,D2,班组1
67,精密灌装机2-2,00:57:30,01:24:10,1600,D2,班组2
68,精密灌装机2-3,00:57:30,01:24:10,1600,D2,班组2
69,精密灌装机2-4,00:57:30,01:24:10,1600,D2,班组2
70,精密灌装机2-5,00:57:30,01:24:10,1600,D2,班组2
71,自动化输送臂1-2,00:57:30,01:24:10,1600,D2,班组1
72,自动化输送臂1-3,00:57:30,01:24:10,1600,D2,班组1
73,自动化输送臂2-1,00:57:30,01:24:10,1600,D2,班组2
74,自动化输送臂2-2,00:57:30,01:24:10,1600,D2,班组2
75,自动化输送臂2-3,00:57:30,01:24:10,1600,D2,班组2
76,自动化输送臂2-4,00:57:30,01:24:10,1600,D2,班组2
77,工业清洗机1-1,01:11:05,01:35:05,1440,B1,班组1
78,工业清洗机1-3,01:11:05,01:35:05,1440,B1,班组1
79,工业清洗机1-5,01:11:05,01:35:05,1440,B1,班组1
80,精密灌装机1-1,01:24:10,01:31:11,421,D3,班组1
81,精密灌装机1-2,01:24:10,01:31:11,421,D3,班组1
82,精密灌装机1-3,01:24:10,01:31:11,421,D3,班组1
83,精密灌装机1-4,01:24:10,01:31:11,421,D3,班组1
84,精密灌装机1-5,01:24:10,01:31:11,421,D3,班组1
85,精密灌装机1-6,01:24:10,01:31:11,421,D3,班组1
86,精密灌装机2-1,01:24:10,01:31:11,421,D3,班组2
87,精密灌装机2-2,01:24:10,01:31:11,421,D3,班组2
88,精密灌装机2-3,01:24:10,01:31:11,421,D3,班组2
89,精密灌装机2-4,01:24:10,01:31:11,421,D3,班组2
90,精密灌装机2-5,01:24:10,01:31:11,421,D3,班组2
91,自动传感多功能机1-1,01:33:08,02:33:08,3600,D4,班组1
92,自动传感多功能机2-1,01:33:08,02:33:08,3600,D4,班组2
93,自动传感多功能机2-2,01:33:08,02:33:08,3600,D4,班组2
94,自动传感多功能机2-3,01:33:08,02:33:08,3600,D4,班组2
95,自动传感多功能机2-4,01:33:08,02:33:08,3600,D4,班组2
96,高速抛光机1-1,01:33:08,04:03:08,9000,D4,班组1
97,高速抛光机1-2,01:33:08,04:03:08,9000,D4,班组1
98,高速抛光机1-3,01:33:08,04:03:08,9000,D4,班组1
99,高速抛光机1-4,01:33:08,04:03:08,9000,D4,班组1
100,高速抛光机2-1,01:33:08,04:03:08,9000,D4,班组2
101,精密灌装机2-1,01:38:41,03:08:41,5400,A1,班组2
102,自动化输送臂1-4,01:38:41,02:50:41,4320,A1,班组1
103,工业清洗机1-1,01:43:53,02:10:33,1600,E1,班组1
104,工业清洗机1-2,01:43:53,02:10:33,1600,E1,班组1
105,工业清洗机1-4,01:43:53,02:10:33,1600,E1,班组1
106,工业清洗机1-5,01:43:53,02:10:33,1600,E1,班组1
107,工业清洗机2-1,01:43:53,02:10:33,1600,E1,班组2
108,工业清洗机2-2,01:43:53,02:10:33,1600,E1,班组2
109,工业清洗机2-3,01:43:53,02:10:33,1600,E1,班组2
110,工业清洗机2-4,01:43:53,02:10:33,1600,E1,班组2
111,工业清洗机2-5,01:43:53,02:10:33,1600,E1,班组2
112,精密灌装机1-2,02:10:33,02:27:42,1029,E2,班组1
113,精密灌装机1-5,02:10:33,02:27:42,1029,E2,班组1
114,精密灌装机1-6,02:10:33,02:27:42,1029,E2,班组1
115,精密灌装机2-3,02:10:33,02:27:42,1029,E2,班组2
116,精密灌装机2-4,02:10:33,02:27:42,1029,E2,班组2
117,精密灌装机2-5,02:10:33,02:27:42,1029,E2,班组2
118,精密灌装机1-2,02:33:42,03:29:57,3375,B2,班组1
119,精密灌装机1-3,02:33:42,03:29:57,3375,B2,班组1
120,精密灌装机1-4,02:33:42,03:29:57,3375,B2,班组1
121,精密灌装机1-5,02:33:42,03:29:57,3375,B2,班组1
122,精密灌装机1-6,02:33:42,03:29:57,3375,B2,班组1
123,精密灌装机2-2,02:33:42,03:29:57,3375,B2,班组2
124,精密灌装机2-3,02:33:42,03:29:57,3375,B2,班组2
125,精密灌装机2-5,02:33:42,03:29:57,3375,B2,班组2
126,自动化输送臂1-1,02:33:42,03:33:42,3600,B2,班组1
127,自动化输送臂1-2,02:33:42,03:33:42,3600,B2,班组1
